word	format	onset	duration	onset_flip	offset_flip	duration_flip
+		0.0	10.0	0.0	9.983248949050903	9.983248949050903
Malfoy		10.0	0.5	9.983248949050903	10.483137130737305	0.49988818168640137
couldn't		10.5	0.5	10.483137130737305	10.98294997215271	0.4998128414154053
believe		11.0	0.5	10.98294997215271	11.482741117477417	0.49979114532470703
his		11.5	0.5	11.482741117477417	11.983150959014893	0.5004098415374756
eyes		12.0	0.5	11.983150959014893	12.483118057250977	0.499967098236084
when		12.5	0.5	12.483118057250977	12.983134984970093	0.5000169277191162
he		13.0	0.5	12.983134984970093	13.48308515548706	0.4999501705169678
saw		13.5	0.5	13.48308515548706	13.983067989349365	0.4999828338623047
that		14.0	0.5	13.983067989349365	14.483072996139526	0.5000050067901611
Harry		14.5	0.5	14.483072996139526	14.983049154281616	0.49997615814208984
and		15.0	0.5	14.983049154281616	15.483049154281616	0.5
Ron		15.5	0.5	15.483049154281616	15.982933044433594	0.49988389015197754
were		16.0	0.5	15.982933044433594	16.482733011245728	0.4997999668121338
still		16.5	0.5	16.482733011245728	16.98256516456604	0.4998321533203125
at		17.0	0.5	16.98256516456604	17.48253107070923	0.4999659061431885
Hogwarts		17.5	0.5	17.48253107070923	17.98251509666443	0.4999840259552002
the		18.0	0.5	17.98251509666443	18.482498168945312	0.4999830722808838
next		18.5	0.5	18.482498168945312	18.98249316215515	0.49999499320983887
day,		19.0	0.5	18.98249316215515	19.4824481010437	0.4999549388885498
looking		19.5	0.5	19.4824481010437	19.98245096206665	0.5000028610229492
tired		20.0	0.5	19.98245096206665	20.482428073883057	0.49997711181640625
but		20.5	0.5	20.482428073883057	20.982429027557373	0.5000009536743164
perfectly		21.0	0.5	20.982429027557373	21.482414960861206	0.499985933303833
cheerful.		21.5	0.5	21.482414960861206	21.98242998123169	0.5000150203704834
Indeed,		22.0	0.5	21.98242998123169	22.482376098632812	0.49994611740112305
by		22.5	0.5	22.482376098632812	22.982383966445923	0.5000078678131104
the		23.0	0.5	22.982383966445923	23.48234796524048	0.49996399879455566
next		23.5	0.5	23.48234796524048	23.982359170913696	0.5000112056732178
morning		24.0	0.5	23.982359170913696	24.482316970825195	0.499957799911499
Harry		24.5	0.5	24.482316970825195	24.982323169708252	0.5000061988830566
and		25.0	0.5	24.982323169708252	25.48228406906128	0.49996089935302734
Ron		25.5	0.5	25.48228406906128	25.98232412338257	0.5000400543212891
thought		26.0	0.5	25.98232412338257	26.48227596282959	0.4999518394470215
that		26.5	0.5	26.48227596282959	26.982314109802246	0.5000381469726562
meeting		27.0	0.5	26.982314109802246	27.482272148132324	0.4999580383300781
the		27.5	0.5	27.482272148132324	27.982290983200073	0.500018835067749
three-headed		28.0	0.5	27.982290983200073	28.482230186462402	0.4999392032623291
dog		28.5	0.5	28.482230186462402	28.982234001159668	0.5000038146972656
had		29.0	0.5	28.982234001159668	29.482251167297363	0.5000171661376953
been		29.5	0.5	29.482251167297363	29.98219609260559	0.49994492530822754
an		30.0	0.5	29.98219609260559	30.482172966003418	0.49997687339782715
excellent		30.5	0.5	30.482172966003418	30.9821879863739	0.5000150203704834
adventure,		31.0	0.5	30.9821879863739	31.48215913772583	0.4999711513519287
and		31.5	0.5	31.48215913772583	31.9821560382843	0.4999969005584717
they		32.0	0.5	31.9821560382843	32.48212218284607	0.4999661445617676
were		32.5	0.5	32.48212218284607	32.98214101791382	0.500018835067749
quite		33.0	0.5	32.98214101791382	33.48212504386902	0.4999840259552002
keen		33.5	0.5	33.48212504386902	33.982110023498535	0.4999849796295166
to		34.0	0.5	33.982110023498535	34.48207998275757	0.4999699592590332
have		34.5	0.5	34.48207998275757	34.98208212852478	0.5000021457672119
another		35.0	0.5	34.98208212852478	35.48205018043518	0.4999680519104004
one.		35.5	0.5	35.48205018043518	35.982057094573975	0.500006914138794
In		36.0	0.5	35.982057094573975	36.48200702667236	0.49994993209838867
the		36.5	0.5	36.48200702667236	36.98204016685486	0.5000331401824951
meantime,		37.0	0.5	36.98204016685486	37.48199415206909	0.4999539852142334
Harry		37.5	0.5	37.48199415206909	37.98199200630188	0.4999978542327881
filled		38.0	0.5	37.98199200630188	38.48197412490845	0.4999821186065674
Ron		38.5	0.5	38.48197412490845	38.9826979637146	0.5007238388061523
in		39.0	0.5	38.9826979637146	39.48193717002869	0.4992392063140869
about		39.5	0.5	39.48193717002869	39.98194599151611	0.5000088214874268
the		40.0	0.5	39.98194599151611	40.48174595832825	0.4997999668121338
package		40.5	0.5	40.48174595832825	40.98191809654236	0.5001721382141113
that		41.0	0.5	40.98191809654236	41.48188495635986	0.4999668598175049
seemed		41.5	0.5	41.48188495635986	41.981898069381714	0.5000131130218506
to		42.0	0.5	41.981898069381714	42.48186206817627	0.49996399879455566
have		42.5	0.5	42.48186206817627	42.981882095336914	0.5000200271606445
been		43.0	0.5	42.981882095336914	43.48185396194458	0.499971866607666
moved		43.5	0.5	43.48185396194458	43.98184299468994	0.49998903274536133
from		44.0	0.5	43.98184299468994	44.481839179992676	0.4999961853027344
Gringotts		44.5	0.5	44.481839179992676	44.981810092926025	0.4999709129333496
to		45.0	0.5	44.981810092926025	45.48172616958618	0.49991607666015625
Hogwarts,		45.5	0.5	45.48172616958618	45.981778144836426	0.5000519752502441
and		46.0	0.5	45.981778144836426	46.48178505897522	0.500006914138794
they		46.5	0.5	46.48178505897522	46.98177099227905	0.499985933303833
spent		47.0	0.5	46.98177099227905	47.4817430973053	0.4999721050262451
a		47.5	0.5	47.4817430973053	47.98174715042114	0.5000040531158447
lot		48.0	0.5	47.98174715042114	48.48173213005066	0.4999849796295166
of		48.5	0.5	48.48173213005066	48.98171901702881	0.4999868869781494
time		49.0	0.5	48.98171901702881	49.48170304298401	0.4999840259552002
wondering		49.5	0.5	49.48170304298401	49.981696128845215	0.49999308586120605
what		50.0	0.5	49.981696128845215	50.48166608810425	0.4999699592590332
could		50.5	0.5	50.48166608810425	50.981698989868164	0.500032901763916
possibly		51.0	0.5	50.981698989868164	51.4816460609436	0.49994707107543945
need		51.5	0.5	51.4816460609436	51.981651067733765	0.5000050067901611
such		52.0	0.5	51.981651067733765	52.4816210269928	0.4999699592590332
heavy		52.5	0.5	52.4816210269928	52.981624126434326	0.5000030994415283
protection.		53.0	0.5	52.981624126434326	53.48159909248352	0.49997496604919434
+		53.5	0.5	53.48159909248352	53.98158097267151	0.4999818801879883
"""It's"		54.0	0.5	53.98158097267151	54.48155617713928	0.49997520446777344
either		54.5	0.5	54.48155617713928	54.98157000541687	0.5000138282775879
really		55.0	0.5	54.98157000541687	55.48153495788574	0.49996495246887207
valuable		55.5	0.5	55.48153495788574	55.98154616355896	0.5000112056732178
or		56.0	0.5	55.98154616355896	56.48151707649231	0.4999709129333496
really		56.5	0.5	56.48151707649231	56.9814510345459	0.49993395805358887
"dangerous,"""		57.0	0.5	56.9814510345459	57.481335163116455	0.49988412857055664
said		57.5	0.5	57.481335163116455	57.981492042541504	0.5001568794250488
Ron.		58.0	0.5	57.981492042541504	58.48145914077759	0.499967098236084
+		58.5	0.5	58.48145914077759	58.98145794868469	0.4999988079071045
"""Or"		59.0	0.5	58.98145794868469	59.48173809051514	0.5002801418304443
"both,"""		59.5	0.5	59.48173809051514	59.98195505142212	0.5002169609069824
said		60.0	0.5	59.98195505142212	60.48193907737732	0.4999840259552002
Harry.		60.5	0.5	60.48193907737732	60.9818971157074	0.4999580383300781
+		61.0	0.5	60.9818971157074	61.48172211647034	0.49982500076293945
But		61.5	0.5	61.48172211647034	61.98152303695679	0.4998009204864502
as		62.0	0.5	61.98152303695679	62.481346130371094	0.49982309341430664
all		62.5	0.5	62.481346130371094	62.98166298866272	0.500316858291626
they		63.0	0.5	62.98166298866272	63.48181104660034	0.5001480579376221
knew		63.5	0.5	63.48181104660034	63.98182415962219	0.5000131130218506
for		64.0	0.5	63.98182415962219	64.48177814483643	0.4999539852142334
sure		64.5	0.5	64.48177814483643	64.98177814483643	0.5
about		65.0	0.5	64.98177814483643	65.48172402381897	0.49994587898254395
the		65.5	0.5	65.48172402381897	65.98175311088562	0.5000290870666504
mysterious		66.0	0.5	65.98175311088562	66.48167014122009	0.49991703033447266
object		66.5	0.5	66.48167014122009	66.98150610923767	0.4998359680175781
was		67.0	0.5	66.98150610923767	67.4813129901886	0.49980688095092773
that		67.5	0.5	67.4813129901886	67.98124718666077	0.49993419647216797
it		68.0	0.5	67.98124718666077	68.4812171459198	0.4999699592590332
was		68.5	0.5	68.4812171459198	68.981201171875	0.4999840259552002
about		69.0	0.5	68.981201171875	69.48117995262146	0.49997878074645996
two		69.5	0.5	69.48117995262146	69.98117709159851	0.4999971389770508
inches		70.0	0.5	69.98117709159851	70.48115611076355	0.49997901916503906
long,		70.5	0.5	70.48115611076355	70.98116898536682	0.5000128746032715
they		71.0	0.5	70.98116898536682	71.48112797737122	0.49995899200439453
didn't		71.5	0.5	71.48112797737122	71.98113012313843	0.5000021457672119
have		72.0	0.5	71.98113012313843	72.48111510276794	0.4999849796295166
much		72.5	0.5	72.48111510276794	72.98112297058105	0.5000078678131104
chance		73.0	0.5	72.98112297058105	73.48108506202698	0.49996209144592285
of		73.5	0.5	73.48108506202698	73.98107504844666	0.49998998641967773
guessing		74.0	0.5	73.98107504844666	74.48104810714722	0.4999730587005615
what		74.5	0.5	74.48104810714722	74.98094296455383	0.4998948574066162
it		75.0	0.5	74.98094296455383	75.48102903366089	0.5000860691070557
was		75.5	0.5	75.48102903366089	75.98102903366089	0.5
without		76.0	0.5	75.98102903366089	76.48099517822266	0.4999661445617676
further		76.5	0.5	76.48099517822266	76.98100018501282	0.5000050067901611
clues.		77.0	0.5	76.98100018501282	77.48098111152649	0.4999809265136719
+		77.5	0.5	77.48098111152649	77.98098111152649	0.5
Neither		78.0	0.5	77.98098111152649	78.48095917701721	0.49997806549072266
Neville		78.5	0.5	78.48095917701721	78.98094916343689	0.49998998641967773
nor		79.0	0.5	78.98094916343689	79.48093295097351	0.4999837875366211
Hermione		79.5	0.5	79.48093295097351	79.98091912269592	0.4999861717224121
showed		80.0	0.5	79.98091912269592	80.480721950531	0.499802827835083
the		80.5	0.5	80.480721950531	80.98089218139648	0.5001702308654785
slightest		81.0	0.5	80.98089218139648	81.48088002204895	0.4999878406524658
interest		81.5	0.5	81.48088002204895	81.98087310791016	0.49999308586120605
in		82.0	0.5	81.98087310791016	82.48083305358887	0.49995994567871094
what		82.5	0.5	82.48083305358887	82.98084497451782	0.5000119209289551
lay		83.0	0.5	82.98084497451782	83.48081016540527	0.49996519088745117
underneath		83.5	0.5	83.48081016540527	83.98081398010254	0.5000038146972656
the		84.0	0.5	83.98081398010254	84.4807960987091	0.4999821186065674
dog		84.5	0.5	84.4807960987091	84.98081707954407	0.5000209808349609
and		85.0	0.5	84.98081707954407	85.48081111907959	0.49999403953552246
the		85.5	0.5	85.48081111907959	85.9807939529419	0.4999828338623047
trapdoor.		86.0	0.5	85.9807939529419	86.48078298568726	0.49998903274536133
All		86.5	0.5	86.48078298568726	86.98076796531677	0.4999849796295166
Neville		87.0	0.5	86.98076796531677	87.48073697090149	0.4999690055847168
cared		87.5	0.5	87.48073697090149	87.98073601722717	0.4999990463256836
about		88.0	0.5	87.98073601722717	88.48071002960205	0.49997401237487793
