word	format	onset	duration	onset_flip	offset_flip	duration_flip
+		0.0	10.0	0.0	9.983260154724121	9.983260154724121
"""He's"		10.0	0.5	9.983260154724121	10.483213186264038	0.499953031539917
heading		10.5	0.5	10.483213186264038	10.98318099975586	0.4999678134918213
for		11.0	0.5	10.98318099975586	11.483191013336182	0.5000100135803223
the		11.5	0.5	11.483191013336182	11.983180046081543	0.49998903274536133
third		12.0	0.5	11.983180046081543	12.483181953430176	0.5000019073486328
"floor,"""		12.5	0.5	12.483181953430176	12.9830961227417	0.49991416931152344
Harry		13.0	0.5	12.9830961227417	13.4830801486969	0.4999840259552002
said,		13.5	0.5	13.4830801486969	13.983139991760254	0.5000598430633545
but		14.0	0.5	13.983139991760254	14.483076095581055	0.4999361038208008
Ron		14.5	0.5	14.483076095581055	14.983067989349365	0.49999189376831055
held		15.0	0.5	14.983067989349365	15.48306918144226	0.5000011920928955
up		15.5	0.5	15.48306918144226	15.983041048049927	0.499971866607666
his		16.0	0.5	15.983041048049927	16.483034133911133	0.49999308586120605
hand.		16.5	0.5	16.483034133911133	16.983097076416016	0.5000629425048828
+		17.0	0.5	16.983097076416016	17.483038187026978	0.4999411106109619
"""Can"		17.5	0.5	17.483038187026978	17.983023166656494	0.4999849796295166
you		18.0	0.5	17.983023166656494	18.482936143875122	0.49991297721862793
smell		18.5	0.5	18.482936143875122	18.983004093170166	0.500067949295044
"something?"""		19.0	0.5	18.983004093170166	19.482962131500244	0.4999580383300781
+		19.5	0.5	19.482962131500244	19.982967138290405	0.5000050067901611
Harry		20.0	0.5	19.982967138290405	20.482951164245605	0.4999840259552002
sniffed		20.5	0.5	20.482951164245605	20.98294997215271	0.4999988079071045
and		21.0	0.5	20.98294997215271	21.482944011688232	0.49999403953552246
a		21.5	0.5	21.482944011688232	21.9829421043396	0.4999980926513672
foul		22.0	0.5	21.9829421043396	22.48290205001831	0.49995994567871094
stench		22.5	0.5	22.48290205001831	22.98288917541504	0.4999871253967285
reached		23.0	0.5	22.98288917541504	23.4828360080719	0.49994683265686035
his		23.5	0.5	23.4828360080719	23.98283314704895	0.4999971389770508
nostrils,		24.0	0.5	23.98283314704895	24.48282504081726	0.49999189376831055
a		24.5	0.5	24.48282504081726	24.98280096054077	0.49997591972351074
mixture		25.0	0.5	24.98280096054077	25.48279595375061	0.49999499320983887
of		25.5	0.5	25.48279595375061	25.982779026031494	0.4999830722808838
old		26.0	0.5	25.982779026031494	26.482757091522217	0.49997806549072266
socks		26.5	0.5	26.482757091522217	26.982762098312378	0.5000050067901611
and		27.0	0.5	26.982762098312378	27.48274517059326	0.4999830722808838
the		27.5	0.5	27.48274517059326	27.982717037200928	0.499971866607666
kind		28.0	0.5	27.982717037200928	28.48272204399109	0.5000050067901611
of		28.5	0.5	28.48272204399109	28.98268699645996	0.49996495246887207
public		29.0	0.5	28.98268699645996	29.48269295692444	0.5000059604644775
toilet		29.5	0.5	29.48269295692444	29.982668161392212	0.49997520446777344
no		30.0	0.5	29.982668161392212	30.48265814781189	0.49998998641967773
one		30.5	0.5	30.48265814781189	30.982643127441406	0.4999849796295166
seems		31.0	0.5	30.982643127441406	31.482635021209717	0.49999189376831055
to		31.5	0.5	31.482635021209717	31.982628107070923	0.49999308586120605
clean.		32.0	0.5	31.982628107070923	32.482601165771484	0.4999730587005615
+		32.5	0.5	32.482601165771484	32.982588052749634	0.4999868869781494
And		33.0	0.5	32.982588052749634	33.48258399963379	0.4999959468841553
then		33.5	0.5	33.48258399963379	33.982572078704834	0.4999880790710449
they		34.0	0.5	33.982572078704834	34.482398986816406	0.49982690811157227
heard		34.5	0.5	34.482398986816406	34.98254919052124	0.500150203704834
it		35.0	0.5	34.98254919052124	35.48252511024475	0.49997591972351074
—		35.5	0.5	35.48252511024475	35.9825119972229	0.4999868869781494
a		36.0	0.5	35.9825119972229	36.482495069503784	0.4999830722808838
low		36.5	0.5	36.482495069503784	36.9824960231781	0.5000009536743164
grunting,		37.0	0.5	36.9824960231781	37.4824640750885	0.4999680519104004
and		37.5	0.5	37.4824640750885	37.98245096206665	0.4999868869781494
the		38.0	0.5	37.98245096206665	38.48244905471802	0.4999980926513672
shuffling		38.5	0.5	38.48244905471802	38.98244595527649	0.4999969005584717
footfalls		39.0	0.5	38.98244595527649	39.482402086257935	0.4999561309814453
of		39.5	0.5	39.482402086257935	39.98240613937378	0.5000040531158447
gigantic		40.0	0.5	39.98240613937378	40.48239302635193	0.4999868869781494
feet.		40.5	0.5	40.48239302635193	40.98239016532898	0.4999971389770508
Ron		41.0	0.5	40.98239016532898	41.48238706588745	0.4999969005584717
pointed		41.5	0.5	41.48238706588745	41.98234510421753	0.4999580383300781
—		42.0	0.5	41.98234510421753	42.48234415054321	0.4999990463256836
at		42.5	0.5	42.48234415054321	42.98234295845032	0.4999988079071045
the		43.0	0.5	42.98234295845032	43.48230504989624	0.49996209144592285
end		43.5	0.5	43.48230504989624	43.98229217529297	0.4999871253967285
of		44.0	0.5	43.98229217529297	44.482342004776	0.5000498294830322
a		44.5	0.5	44.482342004776	44.98228096961975	0.49993896484375
passage		45.0	0.5	44.98228096961975	45.482259035110474	0.49997806549072266
to		45.5	0.5	45.482259035110474	45.98223805427551	0.49997901916503906
the		46.0	0.5	45.98223805427551	46.48223304748535	0.49999499320983887
left,		46.5	0.5	46.48223304748535	46.98222804069519	0.49999499320983887
something		47.0	0.5	46.98222804069519	47.482227087020874	0.4999990463256836
huge		47.5	0.5	47.482227087020874	47.982200145721436	0.4999730587005615
was		48.0	0.5	47.982200145721436	48.482179164886475	0.49997901916503906
moving		48.5	0.5	48.482179164886475	48.98216104507446	0.4999818801879883
toward		49.0	0.5	48.98216104507446	49.4821560382843	0.49999499320983887
them.		49.5	0.5	49.4821560382843	49.98212909698486	0.4999730587005615
They		50.0	0.5	49.98212909698486	50.48211717605591	0.4999880790710449
shrank		50.5	0.5	50.48211717605591	50.982321977615356	0.5002048015594482
into		51.0	0.5	50.982321977615356	51.482584953308105	0.500262975692749
the		51.5	0.5	51.482584953308105	51.98258113861084	0.4999961853027344
shadows		52.0	0.5	51.98258113861084	52.48256707191467	0.499985933303833
