word	format	onset	duration	onset_flip	offset_flip	duration_flip
+		0.0	10.0	0.0	9.982923030853271	9.982923030853271
Malfoy		10.0	0.5	9.982923030853271	10.483057975769043	0.5001349449157715
couldn't		10.5	0.5	10.483057975769043	10.98304009437561	0.4999821186065674
believe		11.0	0.5	10.98304009437561	11.483021974563599	0.4999818801879883
his		11.5	0.5	11.483021974563599	11.983015060424805	0.49999308586120605
eyes		12.0	0.5	11.983015060424805	12.483015060424805	0.5
when		12.5	0.5	12.483015060424805	12.982991933822632	0.49997687339782715
he		13.0	0.5	12.982991933822632	13.482959032058716	0.499967098236084
saw		13.5	0.5	13.482959032058716	13.982949018478394	0.49998998641967773
that		14.0	0.5	13.982949018478394	14.482940912246704	0.49999189376831055
Harry		14.5	0.5	14.482940912246704	14.982909917831421	0.4999690055847168
and		15.0	0.5	14.982909917831421	15.48290205001831	0.49999213218688965
Ron		15.5	0.5	15.48290205001831	15.982929944992065	0.5000278949737549
were		16.0	0.5	15.982929944992065	16.482882976531982	0.499953031539917
still		16.5	0.5	16.482882976531982	16.98286199569702	0.49997901916503906
at		17.0	0.5	16.98286199569702	17.48286008834839	0.4999980926513672
Hogwarts		17.5	0.5	17.48286008834839	17.982851028442383	0.49999094009399414
the		18.0	0.5	17.982851028442383	18.482830047607422	0.49997901916503906
next		18.5	0.5	18.482830047607422	18.982826948165894	0.4999969005584717
day,		19.0	0.5	18.982826948165894	19.482808113098145	0.499981164932251
looking		19.5	0.5	19.482808113098145	19.98278307914734	0.49997496604919434
tired		20.0	0.5	19.98278307914734	20.48277497291565	0.49999189376831055
but		20.5	0.5	20.48277497291565	20.982688903808594	0.49991393089294434
perfectly		21.0	0.5	20.982688903808594	21.482745885849	0.5000569820404053
cheerful.		21.5	0.5	21.482745885849	21.982748985290527	0.5000030994415283
Indeed,		22.0	0.5	21.982748985290527	22.48273801803589	0.49998903274536133
by		22.5	0.5	22.48273801803589	22.982705116271973	0.499967098236084
the		23.0	0.5	22.982705116271973	23.48269295692444	0.4999878406524658
next		23.5	0.5	23.48269295692444	23.98272204399109	0.5000290870666504
morning		24.0	0.5	23.98272204399109	24.48267388343811	0.4999518394470215
Harry		24.5	0.5	24.48267388343811	24.982656955718994	0.4999830722808838
and		25.0	0.5	24.982656955718994	25.48265790939331	0.5000009536743164
Ron		25.5	0.5	25.48265790939331	25.982616901397705	0.49995899200439453
thought		26.0	0.5	25.982616901397705	26.482625007629395	0.5000081062316895
that		26.5	0.5	26.482625007629395	26.982598066329956	0.4999730587005615
meeting		27.0	0.5	26.982598066329956	27.48258399963379	0.499985933303833
the		27.5	0.5	27.48258399963379	27.982593059539795	0.5000090599060059
three-headed		28.0	0.5	27.982593059539795	28.4825599193573	0.4999668598175049
dog		28.5	0.5	28.4825599193573	28.982551097869873	0.49999117851257324
had		29.0	0.5	28.982551097869873	29.48253607749939	0.4999849796295166
been		29.5	0.5	29.48253607749939	29.982507944107056	0.499971866607666
an		30.0	0.5	29.982507944107056	30.482502937316895	0.49999499320983887
excellent		30.5	0.5	30.482502937316895	30.982490062713623	0.4999871253967285
adventure,		31.0	0.5	30.982490062713623	31.482481956481934	0.49999189376831055
and		31.5	0.5	31.482481956481934	31.9824800491333	0.4999980926513672
they		32.0	0.5	31.9824800491333	32.48244905471802	0.4999690055847168
were		32.5	0.5	32.48244905471802	32.982479095458984	0.5000300407409668
quite		33.0	0.5	32.982479095458984	33.4824640750885	0.4999849796295166
keen		33.5	0.5	33.4824640750885	33.982460021972656	0.4999959468841553
to		34.0	0.5	33.982460021972656	34.48244905471802	0.49998903274536133
have		34.5	0.5	34.48244905471802	34.982434034347534	0.4999849796295166
another		35.0	0.5	34.982434034347534	35.48238205909729	0.49994802474975586
one.		35.5	0.5	35.48238205909729	35.982348918914795	0.4999668598175049
In		36.0	0.5	35.982348918914795	36.48237991333008	0.5000309944152832
the		36.5	0.5	36.48237991333008	36.98250198364258	0.5001220703125
