word	format	onset	duration	onset_flip	offset_flip	duration_flip
+		0.0	10.0	0.0	9.966403007507324	9.966403007507324
"""Give"		10.0	0.5	9.966403007507324	10.46635913848877	0.4999561309814453
that		10.5	0.5	10.46635913848877	10.966360092163086	0.5000009536743164
here,		11.0	0.5	10.966360092163086	11.466355085372925	0.49999499320983887
"Malfoy,"""		11.5	0.5	11.466355085372925	11.966325998306274	0.4999709129333496
said		12.0	0.5	11.966325998306274	12.46631407737732	0.4999880790710449
Harry		12.5	0.5	12.46631407737732	12.966312170028687	0.4999980926513672
quietly.		13.0	0.5	12.966312170028687	13.466293096542358	0.4999809265136719
Everyone		13.5	0.5	13.466293096542358	13.966277122497559	0.4999840259552002
stopped		14.0	0.5	13.966277122497559	14.46626901626587	0.49999189376831055
talking		14.5	0.5	14.46626901626587	14.966247081756592	0.49997806549072266
to		15.0	0.5	14.966247081756592	15.46623706817627	0.49998998641967773
watch.		15.5	0.5	15.46623706817627	15.966217041015625	0.49997997283935547
+		16.0	0.5	15.966217041015625	16.46622109413147	0.5000040531158447
Malfoy		16.5	0.5	16.46622109413147	16.966196060180664	0.49997496604919434
smiled		17.0	0.5	16.966196060180664	17.466185092926025	0.49998903274536133
nastily.		17.5	0.5	17.466185092926025	17.966180086135864	0.49999499320983887
"""I"		18.0	0.5	17.966180086135864	18.466148138046265	0.4999680519104004
think		18.5	0.5	18.466148138046265	18.96613097190857	0.4999828338623047
I'll		19.0	0.5	18.96613097190857	19.466110944747925	0.49997997283935547
leave		19.5	0.5	19.466110944747925	19.96610999107361	0.4999990463256836
it		20.0	0.5	19.96610999107361	20.466108083724976	0.4999980926513672
somewhere		20.5	0.5	20.466108083724976	20.966098070144653	0.49998998641967773
for		21.0	0.5	20.966098070144653	21.466066122055054	0.4999680519104004
Longbottom		21.5	0.5	21.466066122055054	21.966057062149048	0.49999094009399414
to		22.0	0.5	21.966057062149048	22.466047048568726	0.49998998641967773
find		22.5	0.5	22.466047048568726	22.96604013442993	0.49999308586120605
—		23.0	0.5	22.96604013442993	23.466057062149048	0.5000169277191162
how		23.5	0.5	23.466057062149048	23.96600604057312	0.49994897842407227
about		24.0	0.5	23.96600604057312	24.46605110168457	0.5000450611114502
—		24.5	0.5	24.46605110168457	24.96597409248352	0.4999229907989502
up		25.0	0.5	24.96597409248352	25.46595597267151	0.4999818801879883
a		25.5	0.5	25.46595597267151	25.965947151184082	0.49999117851257324
"tree?"""		26.0	0.5	25.965947151184082	26.465934991836548	0.4999878406524658
+		26.5	0.5	26.465934991836548	26.9659161567688	0.499981164932251
"""Give"		27.0	0.5	26.9659161567688	27.46591806411743	0.5000019073486328
it		27.5	0.5	27.46591806411743	27.966104984283447	0.5001869201660156
