word	format	onset	duration	onset_flip	offset_flip	duration_flip
+		0.0	10.0	0.0	9.963955879211426	9.963955879211426
Ron		10.0	0.5	9.963955879211426	10.463924884796143	0.4999690055847168
looked		10.5	0.5	10.463924884796143	10.963892936706543	0.4999680519104004
at		11.0	0.5	10.963892936706543	11.463886976242065	0.49999403953552246
his		11.5	0.5	11.463886976242065	11.96389389038086	0.500006914138794
watch		12.0	0.5	11.96389389038086	12.463701009750366	0.49980711936950684
and		12.5	0.5	12.463701009750366	12.963846921920776	0.5001459121704102
then		13.0	0.5	12.963846921920776	13.46383786201477	0.49999094009399414
glared		13.5	0.5	13.46383786201477	13.9638090133667	0.4999711513519287
furiously		14.0	0.5	13.9638090133667	14.463805913925171	0.4999969005584717
at		14.5	0.5	14.463805913925171	14.9638090133667	0.5000030994415283
Hermione		15.0	0.5	14.9638090133667	15.463835954666138	0.5000269412994385
and		15.5	0.5	15.463835954666138	15.96379804611206	0.49996209144592285
Neville.		16.0	0.5	15.96379804611206	16.46376085281372	0.49996280670166016
+		16.5	0.5	16.46376085281372	16.963751077651978	0.49999022483825684
"""If"		17.0	0.5	16.963751077651978	17.463725090026855	0.49997401237487793
either		17.5	0.5	17.463725090026855	17.96371293067932	0.4999878406524658
of		18.0	0.5	17.96371293067932	18.463706970214844	0.49999403953552246
you		18.5	0.5	18.463706970214844	18.96367907524109	0.4999721050262451
get		19.0	0.5	18.96367907524109	19.463669061660767	0.49998998641967773
us		19.5	0.5	19.463669061660767	19.963664054870605	0.49999499320983887
caught,		20.0	0.5	19.963664054870605	20.463656902313232	0.49999284744262695
I'll		20.5	0.5	20.463656902313232	20.963634967803955	0.49997806549072266
never		21.0	0.5	20.963634967803955	21.463624000549316	0.49998903274536133
rest		21.5	0.5	21.463624000549316	21.963626861572266	0.5000028610229492
until		22.0	0.5	21.963626861572266	22.46360993385315	0.4999830722808838
I've		22.5	0.5	22.46360993385315	22.963587045669556	0.49997711181640625
