word	format	onset	duration	onset_flip	offset_flip	duration_flip
+		0.0	10.0	0.0	9.982882022857666	9.982882022857666
Malfoy		10.0	0.5	9.982882022857666	10.482829809188843	0.49994778633117676
couldn't		10.5	0.5	10.482829809188843	10.982793807983398	0.49996399879455566
believe		11.0	0.5	10.982793807983398	11.482760906219482	0.499967098236084
his		11.5	0.5	11.482760906219482	11.982755899429321	0.49999499320983887
eyes		12.0	0.5	11.982755899429321	12.482735872268677	0.49997997283935547
when		12.5	0.5	12.482735872268677	12.982723951339722	0.4999880790710449
he		13.0	0.5	12.982723951339722	13.482709884643555	0.499985933303833
saw		13.5	0.5	13.482709884643555	13.982708930969238	0.4999990463256836
that		14.0	0.5	13.982708930969238	14.482679843902588	0.4999709129333496
Harry		14.5	0.5	14.482679843902588	14.982669830322266	0.49998998641967773
and		15.0	0.5	14.982669830322266	15.482700824737549	0.5000309944152832
Ron		15.5	0.5	15.482700824737549	15.9826979637146	0.4999971389770508
were		16.0	0.5	15.9826979637146	16.482677936553955	0.49997997283935547
still		16.5	0.5	16.482677936553955	16.982664823532104	0.4999868869781494
at		17.0	0.5	16.982664823532104	17.48262596130371	0.49996113777160645
Hogwarts		17.5	0.5	17.48262596130371	17.982590913772583	0.49996495246887207
the		18.0	0.5	17.982590913772583	18.48259997367859	0.5000090599060059
next		18.5	0.5	18.48259997367859	18.982563018798828	0.49996304512023926
day,		19.0	0.5	18.982563018798828	19.482553005218506	0.49998998641967773
looking		19.5	0.5	19.482553005218506	19.9825439453125	0.49999094009399414
tired		20.0	0.5	19.9825439453125	20.482532024383545	0.4999880790710449
but		20.5	0.5	20.482532024383545	20.982513904571533	0.4999818801879883
perfectly		21.0	0.5	20.982513904571533	21.48249888420105	0.4999849796295166
cheerful.		21.5	0.5	21.48249888420105	21.98247981071472	0.4999809265136719
Indeed,		22.0	0.5	21.98247981071472	22.482470989227295	0.49999117851257324
by		22.5	0.5	22.482470989227295	22.982451915740967	0.4999809265136719
