word	format	onset	duration	onset_flip	offset_flip	duration_flip
+		0.0	10.0	0.0	9.9808828830719	9.9808828830719
"""Give"		10.0	0.5	9.9808828830719	10.481015920639038	0.5001330375671387
that		10.5	0.5	10.481015920639038	10.980998039245605	0.4999821186065674
here,		11.0	0.5	10.980998039245605	11.480969905853271	0.499971866607666
"Malfoy,"""		11.5	0.5	11.480969905853271	11.980969905853271	0.5
said		12.0	0.5	11.980969905853271	12.480952024459839	0.4999821186065674
Harry		12.5	0.5	12.480952024459839	12.98096489906311	0.5000128746032715
quietly.		13.0	0.5	12.98096489906311	13.480936050415039	0.4999711513519287
Everyone		13.5	0.5	13.480936050415039	13.980933904647827	0.4999978542327881
stopped		14.0	0.5	13.980933904647827	14.480897903442383	0.49996399879455566
talking		14.5	0.5	14.480897903442383	14.98088002204895	0.4999821186065674
to		15.0	0.5	14.98088002204895	15.480867862701416	0.4999878406524658
watch.		15.5	0.5	15.480867862701416	15.980865001678467	0.4999971389770508
+		16.0	0.5	15.980865001678467	16.48086190223694	0.4999969005584717
Malfoy		16.5	0.5	16.48086190223694	16.980834007263184	0.4999721050262451
smiled		17.0	0.5	16.980834007263184	17.48082184791565	0.4999878406524658
nastily.		17.5	0.5	17.48082184791565	17.98079204559326	0.4999701976776123
"""I"		18.0	0.5	17.98079204559326	18.480775833129883	0.4999837875366211
think		18.5	0.5	18.480775833129883	18.980780839920044	0.5000050067901611
I'll		19.0	0.5	18.980780839920044	19.480639934539795	0.499859094619751
leave		19.5	0.5	19.480639934539795	19.98074984550476	0.5001099109649658
it		20.0	0.5	19.98074984550476	20.480738878250122	0.49998903274536133
somewhere		20.5	0.5	20.480738878250122	20.98072600364685	0.4999871253967285
for		21.0	0.5	20.98072600364685	21.480721950531006	0.4999959468841553
Longbottom		21.5	0.5	21.480721950531006	21.980697870254517	0.49997591972351074
to		22.0	0.5	21.980697870254517	22.480698823928833	0.5000009536743164
find		22.5	0.5	22.480698823928833	22.980693817138672	0.49999499320983887
—		23.0	0.5	22.980693817138672	23.480684995651245	0.49999117851257324
how		23.5	0.5	23.480684995651245	23.980628967285156	0.49994397163391113
about		24.0	0.5	23.980628967285156	24.4806489944458	0.5000200271606445
—		24.5	0.5	24.4806489944458	24.980644941329956	0.4999959468841553
up		25.0	0.5	24.980644941329956	25.480618953704834	0.49997401237487793
a		25.5	0.5	25.480618953704834	25.98063898086548	0.5000200271606445
"tree?"""		26.0	0.5	25.98063898086548	26.480583906173706	0.49994492530822754
+		26.5	0.5	26.480583906173706	26.980568885803223	0.4999849796295166
"""Give"		27.0	0.5	26.980568885803223	27.4805428981781	0.49997401237487793
it		27.5	0.5	27.4805428981781	27.98053002357483	0.4999871253967285
"here!"""	italic	28.0	0.5	27.98053002357483	28.480520963668823	0.49999094009399414
Harry		28.5	0.5	28.480520963668823	28.980527877807617	0.500006914138794
yelled,		29.0	0.5	28.980527877807617	29.48048686981201	0.49995899200439453
but		29.5	0.5	29.48048686981201	29.98046898841858	0.4999821186065674
Malfoy		30.0	0.5	29.98046898841858	30.480459928512573	0.49999094009399414
had		30.5	0.5	30.480459928512573	30.980446815490723	0.4999868869781494
leapt		31.0	0.5	30.980446815490723	31.480440855026245	0.49999403953552246
onto		31.5	0.5	31.480440855026245	31.98041796684265	0.49997711181640625
his		32.0	0.5	31.98041796684265	32.480419874191284	0.5000019073486328
broomstick		32.5	0.5	32.480419874191284	32.98038387298584	0.49996399879455566
and		33.0	0.5	32.98038387298584	33.480379819869995	0.4999959468841553
taken		33.5	0.5	33.480379819869995	33.98036003112793	0.49998021125793457
off.		34.0	0.5	33.98036003112793	34.48034882545471	0.4999887943267822
He		34.5	0.5	34.48034882545471	34.98033785820007	0.49998903274536133
hadn't		35.0	0.5	34.98033785820007	35.48033785820007	0.5
been		35.5	0.5	35.48033785820007	35.98030400276184	0.4999661445617676
lying,		36.0	0.5	35.98030400276184	36.48028802871704	0.4999840259552002
he		36.5	0.5	36.48028802871704	36.98028588294983	0.4999978542327881
could	italic	37.0	0.5	36.98028588294983	37.480257987976074	0.4999721050262451
fly		37.5	0.5	37.480257987976074	37.98027992248535	0.5000219345092773
well.		38.0	0.5	37.98027992248535	38.480242013931274	0.49996209144592285
Hovering		38.5	0.5	38.480242013931274	38.98023581504822	0.49999380111694336
level		39.0	0.5	38.98023581504822	39.48021101951599	0.49997520446777344
with		39.5	0.5	39.48021101951599	39.980387926101685	0.5001769065856934
the		40.0	0.5	39.980387926101685	40.48069882392883	0.5003108978271484
topmost		40.5	0.5	40.48069882392883	40.980692863464355	0.49999403953552246
branches		41.0	0.5	40.980692863464355	41.48065900802612	0.4999661445617676
of		41.5	0.5	41.48065900802612	41.98049187660217	0.4998328685760498
an		42.0	0.5	41.98049187660217	42.48030400276184	0.49981212615966797
oak		42.5	0.5	42.48030400276184	42.98037385940552	0.5000698566436768
he		43.0	0.5	42.98037385940552	43.48056888580322	0.5001950263977051
called,		43.5	0.5	43.48056888580322	43.98053789138794	0.4999690055847168
"""Come"		44.0	0.5	43.98053789138794	44.48056387901306	0.5000259876251221
and		44.5	0.5	44.48056387901306	44.980496883392334	0.49993300437927246
get		45.0	0.5	44.980496883392334	45.480528831481934	0.5000319480895996
it,		45.5	0.5	45.480528831481934	45.98048782348633	0.49995899200439453
"Potter!"""		46.0	0.5	45.98048782348633	46.480473041534424	0.4999852180480957
+		46.5	0.5	46.480473041534424	46.98029804229736	0.49982500076293945
Harry		47.0	0.5	46.98029804229736	47.480165004730225	0.49986696243286133
grabbed		47.5	0.5	47.480165004730225	47.9800169467926	0.49985194206237793
his		48.0	0.5	47.9800169467926	48.48001289367676	0.4999959468841553
broom.		48.5	0.5	48.48001289367676	48.97997784614563	0.49996495246887207
+		49.0	0.5	48.97997784614563	49.479957818984985	0.49997997283935547
"""No!"""	italic	49.5	0.5	49.479957818984985	49.97991895675659	0.49996113777160645
shouted		50.0	0.5	49.97991895675659	50.479933977127075	0.5000150203704834
Hermione		50.5	0.5	50.479933977127075	50.97989892959595	0.49996495246887207
Granger.		51.0	0.5	50.97989892959595	51.479902029037476	0.5000030994415283
"""Madam"		51.5	0.5	51.479902029037476	51.97993183135986	0.5000298023223877
Hooch		52.0	0.5	51.97993183135986	52.47990083694458	0.4999690055847168
told		52.5	0.5	52.47990083694458	52.979856967926025	0.4999561309814453
us		53.0	0.5	52.979856967926025	53.47986102104187	0.5000040531158447
not		53.5	0.5	53.47986102104187	53.97983694076538	0.49997591972351074
to		54.0	0.5	53.97983694076538	54.47983193397522	0.49999499320983887
move		54.5	0.5	54.47983193397522	54.97979784011841	0.4999659061431885
—		55.0	0.5	54.97979784011841	55.479774951934814	0.49997711181640625
you'll		55.5	0.5	55.479774951934814	55.97974395751953	0.4999690055847168
get		56.0	0.5	55.97974395751953	56.479740858078	0.4999969005584717
us		56.5	0.5	56.479740858078	56.97972798347473	0.4999871253967285
all		57.0	0.5	56.97972798347473	57.47971200942993	0.4999840259552002
into		57.5	0.5	57.47971200942993	57.97970199584961	0.49998998641967773
"trouble."""		58.0	0.5	57.97970199584961	58.479702949523926	0.5000009536743164
+		58.5	0.5	58.479702949523926	58.979676961898804	0.49997401237487793
Harry		59.0	0.5	58.979676961898804	59.47965383529663	0.49997687339782715
ignored		59.5	0.5	59.47965383529663	59.97964787483215	0.49999403953552246
her.		60.0	0.5	59.97964787483215	60.47962999343872	0.4999821186065674
Blood		60.5	0.5	60.47962999343872	60.97961187362671	0.4999818801879883
was		61.0	0.5	60.97961187362671	61.47962284088135	0.5000109672546387
pounding		61.5	0.5	61.47962284088135	61.97957682609558	0.4999539852142334
in		62.0	0.5	61.97957682609558	62.4796359539032	0.5000591278076172
his		62.5	0.5	62.4796359539032	62.97956991195679	0.49993395805358887
ears.		63.0	0.5	62.97956991195679	63.48284292221069	0.5032730102539062
He		63.5	0.5	63.48284292221069	63.97954702377319	0.4967041015625
mounted		64.0	0.5	63.97954702377319	64.47952699661255	0.49997997283935547
the		64.5	0.5	64.47952699661255	64.97951102256775	0.4999840259552002
broom		65.0	0.5	64.97951102256775	65.4794909954071	0.49997997283935547
and		65.5	0.5	65.4794909954071	65.97947883605957	0.4999878406524658
kicked		66.0	0.5	65.97947883605957	66.4794569015503	0.49997806549072266
hard		66.5	0.5	66.4794569015503	66.97945284843445	0.4999959468841553
against		67.0	0.5	66.97945284843445	67.47942590713501	0.4999730587005615
the		67.5	0.5	67.47942590713501	67.9794340133667	0.5000081062316895
ground		68.0	0.5	67.9794340133667	68.47941184043884	0.49997782707214355
and		68.5	0.5	68.47941184043884	68.97939682006836	0.4999849796295166
